"SYSTID";"MATNR";"MEINH";"LFNUM";"EAN11";"EANTP";"HPEAN"
"RA1";"000000000010188437";"ST";1;"136852";"Z2";NA
"RA1";"000000000010188444";"ST";1;"136873";"Z2";NA
"RA1";"000000000010188445";"ST";1;"136876";"Z2";NA
"RA1";"000000000010188448";"ST";1;"137055";"Z2";NA
"RA1";"000000000010188845";"ST";1;"109429";"Z2";"X"
"RA1";"000000000010188845";"ST";2;"NORS5 CARP";"Z3";NA
"RA1";"000000000010188846";"ST";1;"110887";"Z2";"X"
"RA1";"000000000010188846";"ST";2;"NOR GD35";"Z3";NA
"RA1";"000000000010188847";"ST";1;"110892";"Z2";"X"
"RA1";"000000000010188847";"ST";2;"NOR IMPC";"Z3";NA
"RA1";"000000000010188848";"ST";1;"112496";"Z2";"X"
"RA1";"000000000010188848";"ST";2;"SE VEDB12";"Z3";NA
"RA1";"000000000010188849";"ST";1;"122587";"Z2";"X"
"RA1";"000000000010188849";"ST";2;"HY VV5860-V";"Z3";NA
"RA1";"000000000010188850";"ST";1;"124293";"Z2";"X"
"RA1";"000000000010188850";"ST";2;"SE VE74TG";"Z3";NA
"RA1";"000000000010188851";"ST";1;"124296";"Z2";"X"
"RA1";"000000000010188851";"ST";2;"SE VESDWA";"Z3";NA
"RA1";"000000000010188865";"ST";2;"133517";"Z2";NA
"RA1";"000000000010188872";"ST";2;"133537";"Z2";NA
"RA1";"000000000010188876";"ST";2;"133548";"Z2";NA
"RA1";"000000000010188879";"ST";2;"133557";"Z2";NA
"RA1";"000000000010188883";"ST";2;"133567";"Z2";NA
"RA1";"000000000010188890";"ST";2;"133587";"Z2";NA
"RA1";"000000000010188896";"ST";2;"133665";"Z2";NA
"RA1";"000000000010188897";"ST";2;"133675";"Z2";NA
"RA1";"000000000010188905";"ST";2;"133721";"Z2";NA
"RA1";"000000000010188912";"ST";2;"133748";"Z2";NA
"RA1";"000000000010188916";"ST";2;"133762";"Z2";NA
"RA1";"000000000010188925";"ST";2;"133790";"Z2";NA
"RA1";"000000000010188930";"ST";2;"133804";"Z2";NA
"RA1";"000000000010188931";"ST";2;"133807";"Z2";NA
"RA1";"000000000010188939";"ST";2;"133831";"Z2";NA
"RA1";"000000000010188961";"ST";2;"133891";"Z2";NA
"RA1";"000000000010189036";"ST";2;"134281";"Z2";NA
"RA1";"000000000010189041";"ST";2;"133900";"Z2";NA
"RA1";"000000000010189052";"ST";2;"133933";"Z2";NA
"RA1";"000000000010189057";"ST";2;"133947";"Z2";NA
"RA1";"000000000010189065";"ST";2;"133974";"Z2";NA
"RA1";"000000000010189069";"ST";2;"133989";"Z2";NA
"RA1";"000000000010189076";"ST";2;"134017";"Z2";NA
"RA1";"000000000010189079";"ST";2;"134039";"Z2";NA
"RA1";"000000000010189087";"ST";2;"134113";"Z2";NA
"RA1";"000000000010189091";"ST";2;"134123";"Z2";NA
"RA1";"000000000010189112";"ST";2;"134182";"Z2";NA
"RA1";"000000000010189122";"ST";2;"134212";"Z2";NA
"RA1";"000000000010189126";"ST";2;"134222";"Z2";NA
"RA1";"000000000010189154";"ST";1;"136655";"Z2";NA
"RA1";"000000000010189186";"ST";2;"135133";"Z2";NA
"RA1";"000000000010189196";"ST";2;"135189";"Z2";NA
"RA1";"000000000010189209";"ST";2;"135287";"Z2";NA
"RA1";"000000000010189225";"ST";2;"135332";"Z2";NA
"RA1";"000000000010189239";"ST";2;"135415";"Z2";NA
"RA1";"000000000010189245";"ST";2;"135477";"Z2";NA
"RA1";"000000000010189248";"ST";2;"135495";"Z2";NA
"RA1";"000000000010189303";"ST";1;"137115";"Z2";NA
"RA1";"000000000010189313";"ST";1;"137143";"Z2";NA
"RA1";"000000000010189324";"ST";1;"137173";"Z2";NA
"RA1";"000000000010189336";"ST";1;"137208";"Z2";NA
"RA1";"000000000010189348";"ST";1;"137254";"Z2";NA
"RA1";"000000000010189351";"ST";1;"137266";"Z2";NA
"RA1";"000000000010189356";"ST";1;"137282";"Z2";NA
"RA1";"000000000010189387";"ST";1;"136802";"Z2";NA
"RA1";"000000000010189391";"ST";1;"136814";"Z2";NA
"RA1";"000000000010189401";"ST";1;"136842";"Z2";NA
"RA1";"000000000010189415";"ST";1;"136882";"Z2";NA
"RA1";"000000000010189419";"ST";2;"41051";"Z2";NA
"RA1";"000000000010212149";"ST";3;"30030387";"Z1";NA
"RA1";"000000000010215726";"ST";1;"30030387";"Z1";NA
"RA1";"000000000010219219";"ST";1;"129937";"Z2";NA
"RA1";"000000000010219222";"ST";1;"132967";"Z2";NA
"RA1";"000000000010219223";"ST";1;"132968";"Z2";NA
"RA1";"000000000010219224";"ST";1;"142632";"Z2";NA
"RA1";"000000000010219227";"ST";2;"142633";"Z2";NA
"RA1";"000000000010219252";"ST";2;"70001324";"Z1";"X"
"RA1";"000000000010219253";"ST";2;"70001326";"Z1";"X"
"RA1";"000000000010219568";"ST";1;"253042210452000000";"Z1";NA
"RA1";"000000000010219687";"ST";1;"253024210242000000";"Z1";"X"
"RA1";"000000000010219762";"ST";1;"253024210242000000";"Z1";"X"
"RA1";"000000000010219764";"ST";1;"253042210452000000";"Z1";"X"
"RA1";"000000000010219778";"ST";1;"70001326";"Z1";"X"
"RA1";"000000000010219789";"ST";1;"230";"Z1";NA
"RA1";"000000000010219793";"ST";1;"70001324";"Z1";"X"
"RA1";"000000000010220915";"ST";1;"230";"Z1";"X"
